"word","cefr_level","total_frequency"
"process","B1","468886833"
"based","A2","464666193"
"example","A1","464621879"
"home","A1","462135096"
"certain","A2","462029929"
"members","A2","461963909"
"among","A2","461130315"
"down","A2","460970287"
"hand","A1","458516111"
"give","A1","458058256"
"rate","A2","457145373"
"several","A2","457044911"
"having","A1","455977051"
"called","A1","455403024"
"course","A1","454727880"
"cases","A1","454630022"
"county","B1","451713807"
"line","A1","450400859"
"present","B1","450190751"
"change","A1","449877979"
"women","A1","448337588"
"taken","A2","444582930"
"am","A1","443287303"
"john","A1","442506316"
"person","A1","442327341"
"available","B1","442193562"
"days","A1","441317228"
"question","A1","441002870"
"international","A2","440257549"
"president","B1","437955009"
"amount","B1","437734555"
"figure","A2","437544195"
"land","B1","436245434"
"family","A1","435000732"
"although","A2","432830446"
"often","A1","431120391"
"cost","A2","429587920"
"special","A1","429439438"
"conditions","A2","428106856"
"economic","B1","425623615"
"including","B1","425487336"
"results","A2","424621547"
"production","A2","423566577"
"required","B1","422538053"
"history","A1","420677718"
"necessary","A2","419113206"
"find","A1","419005952"
"right","A1","418984003"
"using","A1","418864315"
"air","A2","416900565"
"federal","B2","416767364"
"south","A2","415073819"
"subject","A1","413797442"
"therefore","A2","410347078"
"others","A1","407974966"
"best","A1","405191856"
"rather","A2","404867138"
"percent","B1","403357485"
"god","B2","402889203"
"held","A1","402679790"
"al","A1","401816563"
"commission","B2","401522832"
"provided","B1","399352168"
"policy","B1","397305349"
"chapter","A2","396737616"
"set","A1","394903510"
"property","B1","394843100"
"side","A1","394554993"
"came","A1","394191145"
"thought","A2","393457431"
"left","A1","393350968"
"always","A1","393231476"
"level","A2","393094710"
"five","A1","393073454"
"field","A1","392332717"
"book","A1","391695126"
"far","A2","391676267"
"known","B2","390200921"
"going","A2","390075651"
"due","A1","390038256"
"times","B2","388875639"
"political","A2","388486099"
"full","A1","387914343"
"evidence","A2","386777564"
"society","A2","382554810"
"off","A2","382464069"
"name","A1","382225962"
"type","A1","381935567"
"provide","A2","381150372"
"making","A2","380830257"
"head","A1","380763911"
"analysis","B1","380625777"
"put","A1","380037435"
"low","A2","379880986"
"use","A1","379824866"
"least","B1","378939945"
"why","A1","378859661"
"body","A1","378036542"
"various","B1","377679747"
"though","B1","376111140"
"problem","A1","375594728"
"common","A2","374883650"
"next","A2","374089368"
"ii","A1","373164875"
"north","A2","372753927"
"management","B1","372667358"
"white","A1","370908754"
"above","A1","370773157"
"let","A1","370491182"
"light","A1","368986544"
"become","A1","365184261"
"m","A1","363882110"
"age","A1","362648318"
"matter","A1","362573674"
"position","A2","361393499"
"tax","B1","361324242"
"class","A1","360535177"
"things","A1","360012906"
"away","A1","359733391"
"cent","A2","358284664"
"want","A1","357582563"
"trade","A2","356890960"
"done","A2","356468416"
"problems","A1","356005244"
"systems","A2","354933308"
"bill","A2","354136550"
"shown","A1","352436846"
"foreign","A1","350627446"
"et","A1","350323448"
"areas","A2","349820951"
"energy","B2","348696093"
"l","A1","347273095"
"material","A2","347241294"
"something","A1","346785791"
"district","B1","346265392"
"association","A2","345755169"
"himself","A2","344067414"
"nature","A2","342059350"
"later","A1","341743749"
"studies","A1","341675985"
"method","A2","341398283"
"june","A1","340576624"
"industry","B1","340556011"
"party","A1","339016280"
"once","A1","338620858"
"e","A1","337570594"
"money","A1","337382477"
"community","B2","337121360"
"young","A1","337087884"
"terms","B1","336531457"
"press","B1","333623288"
"market","A2","332921498"
"west","A2","331971688"
"public","A2","330310503"
"current","B1","330121403"
"words","A1","329904179"
"term","B1","329351023"
"human","A2","329150847"
"open","A1","329095827"
"free","A1","328122501"
"child","A1","327273253"
"right","A2","326993043"
"london","A1","326625976"
"income","B1","326420645"
"third","A2","326206480"
"member","A2","325679320"
"real","A1","325582094"
"together","A1","325013456"
"paper","A1","324941634"
"seen","A1","324862017"
"particular","B2","323886968"
"view","A2","323107646"
"took","A2","322994138"
"building","A1","321767735"
"application","B1","320850725"
"n","A1","320573572"
"yet","A1","320176572"
"similar","A2","318630616"
"almost","A1","318570935"
"secretary","A2","317444483"
"price","A1","316238140"
"room","A1","312049805"
"look","A1","311903790"
"already","A1","311347387"
"changes","A1","311134562"
"union","B1","311128249"
"products","A2","310845227"
"around","A1","310337249"
"need","A2","309467604"
"went","A2","308930809"
"date","A1","308486453"
"bank","A1","308049783"
"received","A2","307690408"
"higher","A1","306267103"
"treatment","B1","306179005"
"average","A2","305515181"
"surface","B1","304735422"
"death","A2","304004337"
"students","A1","303782925"
"rights","A1","303338670"
"purpose","A2","302899616"
"considered","A2","302832098"
"model","A2","302761565"
"central","B1","302449424"
"basis","B1","302220356"
"result","A1","302135623"
"working","B1","301403640"
"asked","A1","301341586"
"countries","A2","300137470"
"food","A1","299654789"
"nothing","A1","299456508"
"street","A1","299040068"
"able","B1","297743450"
"plan","A1","297419990"
"self","A1","296904651"
"council","B1","296364640"
"x","A1","295701283"
"growth","B1","294917200"
"according","B1","294787145"
"july","A1","294656371"
"early","A2","293669904"
"force","A2","292824671"
"note","A1","291899651"
"lower","B2","291509613"
"black","A1","291477105"
"itself","A2","291469816"
"feet","B1","290531437"
"construction","B1","290288844"
"include","A2","289088577"
"college","A1","288394516"
"major","A2","288178011"
"true","A1","286784874"
"short","A1","284947952"
"increased","A2","284779496"
"support","A2","284516221"
"enough","A2","284382707"
"specific","A2","284135158"
"oil","A2","284116368"
"private","A2","283503237"
"pay","A1","283148412"
"along","A2","282748805"
"groups","A2","282517608"
"non","A1","282391706"
"knowledge","A2","281035794"
"authority","B1","280889323"
"read","A1","280391405"
"care","A1","280259901"
"project","B2","280246862"
"ever","A2","279866170"
"whole","A2","279514298"
"natural","A2","279340857"
"million","A2","279312200"
"training","A2","279193806"
"washington","A1","278912823"
"series","B1","278785978"
"population","A2","278340505"
"test","A1","277305264"
"march","A2","277283437"
"river","A1","277273219"
"reason","A1","276929812"
"church","A1","275540760"
"language","A1","275245695"
"experience","A2","275163856"
"d","A1","274864543"
"account","A2","274273036"
"structure","A2","274164410"
"practice","A1","273795678"
"science","A1","273484362"
"greater","A1","272972552"
"paid","B1","272818500"
"effects","A2","272608883"
"months","A1","271796758"
"labor","A2","271626435"
"activities","A1","270532987"
"show","A1","269981776"
"addition","A2","269786194"
"r","A1","269459962"
"east","A2","269371151"
"whose","A1","268794987"
"single","A2","267766815"
"main","B1","267744101"
"equipment","B1","267527086"
"capital","A2","267260171"
"medical","A2","267125248"
"size","A1","266434806"
"six","A1","265924871"
"continued","A2","265824116"
"love","A1","265501146"
"father","A1","265053661"
"related","B2","264960710"
"kind","A1","264091121"
"operation","B1","263635207"
"plant","A2","263456297"
"british","A1","263019233"
"got","A1","263003022"
"told","A1","262851076"
"century","A2","262608567"
"usually","A1","262046600"
"center","A2","262019617"
"methods","A2","261642399"
"especially","A2","261587805"
"except","A2","261476480"
"contract","B2","260778991"
"themselves","A2","260639442"
"design","A1","260211304"
"space","A2","259945802"
"described","A1","259656980"
"eyes","A1","259550382"
"perhaps","A2","258658754"
"personal","A1","258567134"
"statement","A2","258408486"
"art","A1","258248317"
"better","A1","257887655"
"costs","A2","257857973"
"below","A1","257769633"
"quite","A2","257536420"
"hours","A1","257200037"
"america","A1","257019581"
"gas","A2","256669162"
"obtained","B1","256649785"
"rates","B1","256333923"
"administration","B1","255782417"
"meeting","A1","255571300"
"theory","B1","254359616"
"fig","A1","254306640"
"ground","A1","254140837"
"annual","B1","254120621"
"persons","A1","254083434"
"word","A1","252822845"
"became","A1","251540926"
"decision","B1","251323900"
"respect","B1","251047626"
"page","A1","250689607"
"night","A1","250676514"
"face","A1","250598369"
"established","A2","249494931"
"further","A2","249463196"
"materials","A2","249319878"
"mind","A1","249136842"
"division","B2","248772426"
"brought","A1","248569051"
"values","B1","248523005"
"generally","B1","248498519"
"quality","A2","248410682"
"pressure","A2","248397655"
"agreement","B1","248390016"
"financial","B1","248233440"
"probably","A2","248150334"
"increase","B1","247639026"
"works","A1","247623320"
"thing","A1","247446082"
"clear","A2","247302522"
"corporation","B2","246859554"
"road","A2","246352401"
"review","A1","245623558"
"believe","A1","245248157"
"sense","A2","245244742"
"mother","A1","245061434"
"title","A2","244570252"
"organization","B1","244293843"
"parts","B1","243868421"
"temperature","A2","243856390"
"close","A1","243499038"
"keep","A1","243329740"
"effective","B1","243322756"
"source","A2","243112887"
"programs","A2","242912211"
"activity","A1","242801957"
"range","A2","242633423"
"april","A1","242535796"
"additional","A2","242367227"
"rule","A1","242324403"
"distribution","B1","241878398"
"security","B1","240720246"
"workers","A1","239693020"
"help","A1","238999023"
"reported","A2","238983294"
"long","A2","238914283"
"limited","B1","238659381"
"insurance","B1","237767583"
"stock","B2","237555959"
"return","A2","237400694"
"t","A1","237303984"
"industrial","B1","236240189"
"congress","A1","235994981"
"really","A1","235803062"
"lines","A2","235051842"
"performance","A2","234604038"
"developed","A2","234575271"
"function","B1","234557076"
"resources","B1","234528563"
"military","A2","234526860"
"seems","A2","233893377"
"rules","A2","233663951"
"record","B1","233489808"
"king","A1","233475008"
"needs","A2","233127045"
"role","A1","232390758"
"nor","B1","232355209"
"schools","A1","231281233"
"issue","A2","230595492"
"proposed","B2","230364400"
"january","A1","230216451"
"tell","A1","229971580"
"v","A1","229431363"
"written","B1","229106822"
"article","A1","228925672"
"journal","B1","228557904"
"j","A1","228303593"
"published","A2","227743652"
"situation","A2","227603477"
"woman","A1","227332413"
"loss","B1","227216829"
"today","A1","226993793"
"william","A1","226795919"
"species","B2","226728617"
"g","A1","225859671"
"director","A2","225597948"
"unit","A2","225406277"
"shows","A1","225253986"
"included","A2","224560594"
"individual","B1","224278908"
"h","A1","224261974"
"requirements","B1","223535747"
"points","A1","223301486"
"employees","B2","223100513"
"december","A1","222622988"
"condition","A2","222257758"
"physical","A2","222104652"
"toward","A2","221717033"
"gave","A1","221454981"
"library","A1","221375437"
"questions","A2","220668207"
"near","A1","220547139"
"began","A1","220257313"
"up","A2","220157276"
"books","A2","219711943"
"attention","A2","219681711"
"follows","A2","219063808"
"final","A2","219024956"
"says","A2","218998777"
"employment","B1","218930952"
"letter","A1","218117381"
"volume","B1","218011682"
"heart","A1","217554447"
"forms","A2","217493906"
"across","A2","216889075"
"normal","A2","215423224"
"chairman","A2","214967768"
"late","A1","214179622"
"region","B1","214055978"
"looked","A1","213983303"
"code","A1","213569352"
"lord","A1","212875472"
"direct","A2","212541164"
"felt","A1","212363442"
"taking","A2","212079039"
"english","A1","211958238"
"staff","A2","211934004"
"blood","A2","211753862"
"laws","A2","211545038"
"added","A1","211463602"
"f","A1","211400829"
"patients","A2","211372271"
"co","A1","211223090"
"product","A2","211106895"
"knew","A1","211074445"
"town","A1","210990888"
"saw","B2","210978153"
"strong","A1","210940038"
"de","A1","210939811"
"fire","A1","210742880"
"purposes","A2","210215982"
"presented","A2","210017097"
"one","A2","209900037"
"significant","A2","209872815"
"ed","A1","209777601"
"need","B2","209724475"
"solution","A2","209722168"
"particularly","B1","209567436"
"further","B1","209154356"
"involved","B1","208881631"
"provisions","B2","208866546"
"issues","B1","208739885"
"needed","A2","208534381"
"complete","A2","208322122"
"agency","A2","208100235"
"whom","A2","208095969"
"sometimes","B1","207931910"
"october","A1","207525588"
"makes","A2","207464132"
"legal","B1","207283143"
"applied","A2","207199204"
"soon","A1","206597304"
"western","B2","206123279"
"sir","A1","205300355"
"recent","A2","205284436"
"french","A1","205206516"
"hard","A1","204985800"
"week","A1","204525412"
"carried","A1","204443543"
"september","A1","204414787"
"factors","B2","204054742"
"length","B1","203677861"
"original","A2","203506229"
"hands","A1","203439229"
"response","A2","203431618"
"approach","B1","203336634"
"reports","A2","203313995"
"anything","A1","202942727"
"determined","B2","202862164"
"modern","A2","202342690"
"associated","B1","202149052"
"companies","A2","202020817"
"reference","B2","201874646"
"england","A1","201746171"
"civil","B1","201660662"
"difficult","A1","201641229"
"technology","A1","201511460"
"produced","A2","200689469"
"turn","A1","200455259"
"basic","A2","200290733"
"defendant","A1","200238281"
"movement","B1","200210718"
"job","A1","199982976"
"types","A2","199482137"
"james","A1","199362769"
"likely","A2","199142305"
"levels","B1","198701113"
"vol","A1","198672669"
"idea","A1","198599224"
"disease","B1","198568071"
"miles","B1","198496274"
"feel","A1","198381798"
"answer","A1","198185829"
"opinion","A2","197637840"
"relations","B1","197512165"
"funds","B1","197402665"
"degree","A2","197214441"
"story","A1","197133279"
"cells","B1","196067744"
"doing","A1","195751064"
"operations","B1","193977378"
"list","A1","193852133"
"longer","A1","193744090"
"sales","A1","193651884"
"army","B1","193603719"
"son","A1","193589949"
"relationship","B1","193099691"
"planning","B2","192792998"
"run","A1","192362461"
"sea","A1","192066044"
"finally","A2","191772184"
"beginning","A2","191759123"
"ten","A1","191590544"
"meet","A1","191370503"
"iii","A1","191356382"
"august","A1","191101568"
"charge","B1","191012547"
"extent","B1","189823498"
"turned","A1","189441617"
"reading","A1","189009390"
"expected","B2","188882270"
"technical","B2","188531214"
"conference","B2","188509852"
"base","A2","188196897"
"placed","A2","188149398"
"provides","A2","188149235"
"half","A1","188129181"
"post","A1","187954297"
"month","A1","187638228"
"prior","B2","187052059"
"flow","B1","186844056"
"simple","A2","186551762"
"appropriate","A2","186251475"
"moment","A1","186088657"
"consider","A2","186065999"
"fund","B1","185852025"
"cross","A2","185120031"
"supply","B1","184967108"
"difference","A1","184752330"
"protection","B1","184613388"
"sent","A2","183789189"
"appear","A2","183730370"
"discussion","A2","183451273"
"instead","A2","183213850"
"twenty","A1","183062873"
"motion","B2","182876053"
"george","A1","182705782"
"followed","A2","182651121"
"sure","A1","182570239"
"down","A1","182400789"
"behind","A1","182347020"
"character","A1","182276412"
"wide","A2","182054506"
"stage","A1","181875826"
"weight","A2","181823097"
"big","A1","181518604"
"play","A1","181033250"
"understand","A2","181033116"
"cell","B1","180873023"
"beyond","A2","180334239"
"primary","B2","180331782"
"wife","A1","179992108"
"heard","A1","179985129"
"officer","A1","179927282"
"manner","A2","179924308"
"throughout","B1","179674798"
"door","A1","179590768"
"parties","A1","179428540"
"institute","B1","179320896"
"site","A1","178922156"
"prices","A2","178607841"
"november","A1","178559640"
"trial","B2","178397534"
"wanted","A2","178396464"
"unless","B1","178278157"
"passed","A2","177915704"
"officers","A1","177777679"
"direction","A2","177568663"
"hospital","A1","177461104"
"poor","A1","177277475"
"capacity","B1","176962881"
"goods","B1","176899077"
"indeed","A2","176501026"
"lost","A2","176260163"
"box","A1","176250353"
"ways","A1","175867664"
"canada","A1","175794634"
"credit","A2","175750518"
"judgment","B1","175484252"
"plants","A2","175119629"
"hundred","A2","175043618"
"author","A2","175025985"
"writing","A2","174449634"
"mean","A1","174365397"
"observed","B1","174157300"
"car","A1","173656810"
"survey","A1","173646399"
"importance","A2","173580696"
"former","B1","173077490"
"engineering","B1","173007124"
"music","A1","172972571"
"text","A2","172961710"
"acid","B2","172646170"
"soil","B2","172547150"
"notice","A2","172290440"
"india","B2","172042942"
"bring","A1","172014578"
"demand","B1","172009886"
"determine","B1","172004817"
"appears","A2","171500697"
"culture","A1","171486799"
"ask","A1","171402793"
"risk","B1","171034879"
"earlier","A1","170877004"
"records","A2","170743335"
"february","A1","170345540"
"directly","B1","170258698"
"standards","B1","170207136"
"learning","B2","169877977"
"steel","B1","169520652"
"looking","A1","169082336"
"units","A2","169075829"
"exchange","A2","168918074"
"station","A1","168752654"
"safety","B1","168691687"
"previous","B1","168051925"
"seemed","A2","167979790"
"sale","A1","167693541"
"scale","A2","167638326"
"investment","B2","167619436"
"payment","B2","167558917"
"chicago","A1","167326785"
"forces","B1","167244565"
"entire","B1","167187000"
"justice","B1","166633326"
"notes","A1","166487944"
"existing","B2","166295210"
"rest","B1","166192366"
"proper","A2","165804982"
"alone","A1","165642820"
"facilities","B2","165628908"
"simply","A2","165417248"
"clearly","A2","165241963"
"agricultural","B1","164794432"
"environment","B2","164759771"
"contact","A2","164151496"
"claims","A2","163488157"
"minister","B2","163370957"
"actual","B2","163303008"
"larger","A1","163122200"
"heat","A2","162973830"
"duty","B1","162949783"
"actually","A2","162917190"
"europe","A1","162843094"
"includes","A2","162719946"
"stated","B1","162677996"
"operating","A2","162299590"
"prepared","B1","162275773"
"cause","B2","162196956"
"equal","B1","162177373"
"seem","A2","162156269"
"earth","A2","162122182"
"assistance","B1","162058926"
"understanding","B2","161942929"
"robert","A1","161912582"
"otherwise","B1","161815117"
"status","B1","161667876"
"presence","B1","161275839"
"k","A1","161251540"
"produce","A2","161217107"
"regulations","B1","161136566"
"thomas","A1","161107220"
"defined","B1","161097021"
"influence","A2","160933163"
"nearly","A2","160869446"
"student","A1","160864270"
"benefits","B1","160490472"
"continue","A2","160279761"
"require","B1","159860448"
"future","A1","159814362"
"concerned","B1","159639125"
"elements","B1","159558676"
"active","B1","158925286"
"key","A1","158759016"
"consideration","B1","158575770"
"procedure","B2","158525210"
"issued","B1","158432581"
"individuals","B1","158353210"
"relation","B1","158186527"
"farm","A1","158131150"
"leave","A1","158101334"
"factor","B2","157753785"
"phase","B2","157743211"
"hour","A1","157620886"
"computer","A1","157528219"
"figures","A2","157471097"
"compared","A2","157452124"
"failure","B1","157384508"
"maximum","B1","157258869"
"electric","A2","157160972"
"set","A2","157148033"
"numbers","A1","157013596"
"coming","A1","156877805"
"referred","A2","156806558"
"call","A2","156804781"
"voice","A2","156598274"
"past","A1","156537618"
"environmental","B1","156535403"
"sources","A2","156276088"
"either","A2","155751235"
"china","A1","155406584"
"morning","A1","155368193"
"minutes","A1","155210910"
"aid","B1","155074132"
"connection","B1","155004847"
"kept","A1","154961841"
"literature","B1","154759791"
"trust","B2","154598304"
"france","A1","154446800"
"properties","B1","154396918"
"towards","A2","154384331"
"independent","B1","154228970"
"news","A1","154156517"
"san","A1","154029899"
"gives","A1","154002470"
"sufficient","B1","153814133"
"wall","A1","153805521"
"upper","B1","153691142"
"reduced","B1","153689989"
"ago","A1","153522787"
"iron","B1","153494059"
"allowed","A2","153395258"
"interests","A2","153338233"
"born","A1","153326813"
"peace","A1","152945007"
"complex","B1","152880714"
"senate","A1","152854835"
"plans","A2","152673393"
"built","A1","152497534"
"relative","B1","152314173"
"opportunity","A2","152182364"
"chemical","B1","152172986"
"coal","B1","152143241"
"apply","A2","151676443"
"amendment","A1","151652406"
"southern","B1","151274736"
"meaning","A2","150831651"
"everything","A1","150749774"
"immediately","B1","150503629"
"distance","B1","150402809"
"teachers","A1","150003767"
"seven","A1","149839027"
"behavior","A2","149813398"
"mass","B2","149779540"
"executive","B2","149589030"
"police","A2","149478666"
"nation","A2","149401132"
"charles","A1","148982377"
"reached","A2","148783038"
"island","A1","148772837"
"educational","A2","148535436"
"either","B1","148445321"
"mentioned","A2","148434776"
"lot","A2","148399916"
"follow","A2","148249657"
"discussed","A1","148218416"
"mr","A1","148104183"
"functions","A2","147836726"
"senator","B2","147678143"
"bureau","B1","147551701"
"sec","A1","147511352"
"start","A1","147150387"
"friends","A1","147094571"
"commercial","B1","147056944"
"led","A2","146928334"
"institutions","B2","146738364"
"met","A1","146549823"
"hold","A2","146540904"
"giving","A1","146460270"
"sample","A2","146435649"
"machine","A1","146332516"
"strength","A2","146290941"
"index","B2","146243180"
"started","A1","146227113"
"sections","A1","146197347"
"progress","B1","146038530"
"ability","A2","145826402"
"live","A1","145785394"
"measures","B1","145507609"
"plaintiff","A1","145506685"
"impact","A2","145354533"
"facts","A2","145319734"
"economy","B1","145254046"
"differences","A1","144982161"
"collection","A1","144744518"
"noted","A1","144688339"
"designed","A2","144533510"
"positive","B1","144487408"
"employed","B2","144405614"
"eight","A1","144111312"
"religious","B1","144022444"
"estate","B2","143920430"
"measure","B1","143598107"
"fine","A1","143544847"
"front","A2","143383194"
"access","B1","143053982"
"daily","A2","142944366"
"smith","A1","142756600"
"transportation","B1","142479081"
"parents","A1","142476471"
"comes","A1","142395160"
"internal","B1","142380845"
"standard","B1","142372250"
"cultural","B1","142329825"
"tests","A2","142245455"
"lake","A2","141999006"
"forward","A2","141994492"
"increasing","A2","141979889"
"receive","A2","141840367"
"affairs","A2","141603160"
"germany","A1","141455619"
"patient","A2","141410865"
"historical","B1","141381858"
"reasons","A1","141150891"
"balance","B1","141008422"
"circumstances","B2","140855061"
"places","A2","140673285"
"red","A1","140634380"
"description","A2","140490072"
"friend","A1","140447234"
"filed","A2","140407323"
"success","A2","140395113"
"covered","A1","140387986"
"caused","B1","140241235"
"else","A1","140174504"
"defense","B1","140127197"
"effort","A2","139973981"
"content","B1","139587059"
"scientific","A2","139573002"
"hearing","B1","139298725"
"events","A1","139278925"
"write","A1","139211573"
"becomes","A1","139187283"
"heavy","A1","139163452"
"following","A1","139027138"
"portion","B2","138908414"
"fully","A2","138908358"
"formed","A2","138867114"
"examination","B1","138594345"
"provision","B2","138409697"
"housing","A1","138332872"
"processes","B1","138230822"
"showed","A1","138129064"
"approximately","B1","138117767"
"introduction","B1","138076083"
"minimum","B1","137994874"
"develop","A2","137988891"
"efforts","A2","137904169"
"moved","A1","137898808"
"formation","B2","137876011"
"certainly","A2","137731500"
"fixed","B2","137619464"
"motor","B1","137473511"
"metal","A2","137448682"
"critical","B1","137387963"
"initial","B2","137364858"
"applications","B1","137304602"
"allow","A2","137137637"
"park","A1","137042418"
"agriculture","B1","136961629"
"resolution","B2","136892028"
"future","B1","136828406"
"entitled","B2","136663254"
"fish","A1","136323807"
"chief","B2","136224169"
"selected","B1","135874842"
"nations","A2","135840972"
"forest","A2","135744137"
"occur","B1","135672853"
"spirit","B1","135633593"
"regional","B1","135619043"
"serious","B1","135417688"
"features","B1","135366550"
"transfer","B2","135350799"
"created","A2","135055914"
"none","B1","134989693"
"past","B1","134861726"
"considerable","B1","134699421"
"maintenance","B1","134558774"
"paul","A1","134441599"
"recently","A2","134367769"
"adopted","B2","134108923"
"weeks","A1","133962541"
"takes","A2","133713727"
"increase","A2","133662640"
"professor","B1","133622978"
"agencies","A2","133543259"
"summer","A1","133530334"
"acts","A2","133289794"
"projects","B2","133185095"
"constant","B2","133077688"
"decided","A2","132987831"
"principles","B1","132836917"
"dark","A1","132616370"
"claim","B1","132518611"
"domestic","B2","132484505"
"add","A1","132401172"
"judge","B1","132161948"
"offer","A2","132141626"
